Product Name,Manufacturer,CPU manufacturer,CPU brand modifier,CPU generation,CPU Speed (GHz),RAM (GB),RAM Type,Bus (MHz),Storage (GB),Screen Size (inch),Screen Resolution,Refresh Rate (Hz),GPU manufacturer,Weight (kg),Battery,Price (VND)
DELL Inspiron 14 7420 1yt85,dell,Intel,I7,71,1.7,16,DDR4,,512,14.0,1920 x 1200,,NVIDIA,1.6,"4 cell 54 Wh , Pin liền",
DELL Vostro 5470,dell,,I5,,,4,DDR3,1600,500,14.0,1366 x 768,,NVIDIA,1.53,3-cell Li-ion,
DELL Vostro 15 3530 80gg9,dell,Intel,I5,51,1.3,8,DDR4,3200,512,15.6,1920 x 1080,120,Intel,1.6,3 cell 41 Wh,
DELL Inspiron 15 3520 N3520 I5u085w11slu,dell,Intel,I5,51,4.4,16,DDR4,2666,512,15.6,1920 x 1080,120,Intel,1.9,"Pin liền, 3-Cell Battery, 41WHr",
DELL Vostro 3530 2h1tpi5,dell,Intel,I5,51,0.9,8,DDR4,2666,1024,15.6,1920 x 1080,120,Intel,1.66,"41Wh , 3Cell",16990000
DELL Insprion 3501,dell,Intel,I3,31,4.1,4,DDR4,2666,256,15.6,,,Intel,1.91,3Cell 42Whrs,
DELL Inspiron 14 5430 20dy31,dell,Intel,I7,71,2.2,16,DDR5,4800,1024,14.0,1920 x 1200,,Intel,1.6,4 cell 54 Wh,
DELL Inspiron 15 3520 N3520 I5u165w11blu,dell,Intel,I5,51,4.4,16,DDR4,2666,512,15.6,1920 x 1080,120,Intel,1.9,"3-Cell Battery, 41WHr",
DELL Xps 13 9370,dell,Intel,I7,85,4.0,8,DDR3,1866,256,13.3,1920 x 1080,,Intel,1.21,4-cell Li-ion,
DELL Latitude E6420,dell,Intel,I5,25,2.5,4,DDR3,,512,14.0,,,Intel,2.09,,
DELL Vostro 3578,dell,Intel,I5,82,,4,DDR4,2400,1024,15.6,1920 x 1080,,AMD,2.2,4-cell Li-ion,
DELL Inspiron 15 3530 71043885,dell,Intel,I5,51,,16,DDR4,2660,512,15.6,1920 x 1080,120,Intel,1.66,Pin liền,19290000
ASUS Vivobook Go 14 E1404fa Nk177w,asus,AMD,Ryzen 5,7,4.3,16,DDR5,,512,14.0,1920 x 1080,60,AMD,1.3,"42WHrs, 3S1P, Li-ion 3 cell",14490000
ASUS Tuf Gaming F16 Fx607vj Rl034w,asus,Intel,,,2.2,16,DDR4,3200,2048,16.0,1920 x 1200,144,NVIDIA,2.2,"56WHrs, 4S1P, 4-cell Li-ion",24490000
ASUS Vivobook 16x K3605vc Rp431w,asus,Intel,I5,51,2.1,16,DDR4,,512,16.0,1920 x 1200,144,NVIDIA,1.8,"50WHrs, 3S1P, 3-cell Li-ion",22090000
ASUS Gaming V16 V3607vm Rp044w,asus,Intel,,,2.5,16,DDR5,,1024,16.0,1920 x 1200,144,NVIDIA,1.95,"63WHrs, 3S1P, 3-cell Li-ion",37990000
ASUS Vivobook 16 A1607qa Mb067ws Snapdragon,asus,,,,2.97,16,DDR5,,512,16.0,1920 x 1200,60,,1.88,"50WHrs, 3S1P, 3-cell Li-ion",20990000
ASUS Vivobook Go 14 E1404fa Eb482w,asus,AMD,Ryzen 5,7,2.8,16,DDR5,,512,14.0,1920 x 1080,60,AMD,1.38,"42WHrs, 3S1P, 3-cell Li-ion",14190000
ASUS Gaming V16 V3607vu Rp343w,asus,Intel,,,2.2,16,DDR5,,512,16.0,1920 x 1200,144,NVIDIA,1.95,"63WHrs, 3S1P, 3-cell Li-ion",25490000
ASUS Vivobook Go 15 E1504ga Bq1141w,asus,Intel,I3,,1.8,8,DDR4,,,15.6,1920 x 1080,60,Intel,1.63,"42WHrs, 3S1P, 3-cell Li-ion",10190000
ASUS Vivobook S14 S3407qa Sf043ws,asus,,,,2.97,16,DDR5,,512,14.0,1920 x 1200,60,,1.35,"70WHrs, 3S1P, 3-cell Li-ion",22990000
ASUS Tuf Gaming A15 Fa506ncg Hn184w,asus,AMD,Ryzen 7,7,3.2,16,DDR5,5600,1024,15.6,1920 x 1080,144,NVIDIA,2.3,"48WHrs, 3S1P, 3-cell Li-ion",22490000
ASUS Vivobook 15 Oled A1505va Ma505w,asus,Intel,I5,51,2.1,16,DDR4,,512,15.6,2880 x 1620,120,Intel,1.7,"50WHrs, 3S1P, 3-cell Li-ion",19690000
ASUS Tuf Gaming F16 Fx608jhr Rv037w,asus,Intel,I7,14,2.2,16,DDR5,5600,1024,16.0,1920 x 1200,165,NVIDIA,2.2,"90WHrs, 4S1P, 4-cell Li-ion",38990000
ASUS Vivobook S14 S3407va Ly046w,asus,Intel,I5,51,2.1,16,DDR5,,512,14.0,1920 x 1200,60,Intel,1.39,"70WHrs, 4S1P, 4-cell Li-ion",18990000
ASUS Tuf Gaming F16 Fx607vu Rl045w,asus,Intel,,,2.2,16,DDR5,5600,2048,16.0,1920 x 1200,144,NVIDIA,2.2,"56WHrs, 4S1P, 4-cell Li-ion Sạc lại từ 0-50% trong 30 phút",28490000
ASUS Vivobook Go 15 E1504fa Nj454w,asus,AMD,Ryzen 5,7,4.3,16,DDR5,,512,15.6,1920 x 1080,60,AMD,1.8,"42WHrs, 3S1P, 3-cell Li-ion",14490000
ASUS Vivobook 14 X1405va Ly623w,asus,Intel,I5,51,2.1,16,DDR4,,512,14.0,1920 x 1200,60,Intel,1.6,"42WHrs, 3S1P, 3-cell Li-ion",16490000
ASUS Vivobook 16x K3605vc Rp491w,asus,Intel,I7,71,2.4,16,DDR4,,512,16.0,1920 x 1200,144,NVIDIA,1.8,"50WHrs, 3S1P, 3-cell Li-ion",22990000
ASUS Vivobook S 14 Flip Tp3402va Lz632w,asus,Intel,I5,51,2.1,16,DDR4,,512,14.0,1920 x 1200,60,Intel,1.5,"50WHrs, 3S1P, 3-cell Li-ion",20990000
ASUS Vivobook 15 X1502va Bq885w,asus,Intel,I5,51,2.1,16,DDR4,,512,15.6,1920 x 1080,60,Intel,1.7,"42WHrs, 3S1P, 3-cell Li-ion",15990000
ASUS Rog Strix G16 G615jmr S5155w,asus,Intel,I7,14,2.2,32,DDR5,5600,1024,16.0,2560 x 1600,240,NVIDIA,2.65,"90WHrs, 4S1P, 4-cell Li-ion",46990000
ASUS Vivobook 14 X1404va Nk394w,asus,Intel,I3,31,1.2,8,DDR4,,512,14.0,1920 x 1080,60,Intel,1.4,"42WHrs, 3S1P, 3-cell Li-ion",12690000
ASUS Zenbook A14 Ux3407qa Qd299ws Copilot X Plus,asus,,,,2.97,16,DDR5,,512,14.0,1920 x 1200,60,,0.98,"70WHrs, 3S1P, 3-cell Li-ion",29990000
ASUS Vivobook 15 X1502va Bq886w,asus,Intel,I7,71,2.4,16,DDR4,,512,15.6,1920 x 1080,60,Intel,1.7,"42WHrs, 3S1P, 3-cell Li-ion",17990000
ASUS Zenbook S 16 Um5606ka Rk127ws RYZEN Ai 7,asus,AMD,,3,2.0,24,DDR5,,1024,16.0,2880 x 1800,120,AMD,1.5,"78WHrs, 2S2P, 4-cell Li-ion",42990000
ASUS Vivobook 15 Oled A1505va L1688w,asus,Intel,I7,71,2.4,16,DDR4,,512,15.6,1920 x 1080,60,Intel,1.7,"50WHrs, 3S1P, 3-cell Li-ion",20990000
ASUS Zenbook 14 Um3406ka Pp113ws RYZEN Ai 7,asus,AMD,,3,2.0,16,DDR5,,512,14.0,2880 x 1800,120,AMD,1.2,"75WHrs, 4S1P, 4-cell Li-ion",28990000
ASUS Vivobook Go 15 E1504fa Bq1150w,asus,AMD,Ryzen 5,7,2.8,16,DDR5,,512,15.6,1920 x 1080,60,AMD,1.63,"42WHrs, 3S1P, 3-cell Li-ion",14190000
ASUS Vivobook 15 X1504va Bq2076w,asus,Intel,I5,51,1.3,16,DDR4,,512,15.6,1920 x 1080,60,Intel,1.7,"42WHrs, 3S1P, 3-cell Li-ion",15990000
ASUS Vivobook S 14 Oled M5406wa Pp071ws,asus,AMD,,3,2.0,32,DDR5,,1024,14.0,2880 x 1800,120,AMD,1.3,"75WHrs, 4S1P, 4-cell Li-ion",33990000
ASUS Vivobook 15 X1504va Bq165w,asus,Intel,,,1.4,16,DDR4,,512,15.6,1920 x 1080,60,Intel,1.7,"42WHrs, 3S1P, 3-cell Li-ion",16990000
ASUS Vivobook S16 S3607qa Sh040ws,asus,,,,2.97,16,DDR5,,512,16.0,1920 x 1200,60,,1.74,"70WHrs, 3S1P, 3-cell Li-ion",23490000
ASUS Zenbook 14 Ux3405ca Pz188ws,asus,Intel,,,2.0,32,DDR5,,1024,14.0,2880 x 1800,120,Intel,1.28,"75WHrs, 2S2P, 4-cell Li-ion",35990000
ASUS Rog Zephyrus G14 Ga403wm Qs051ws RYZEN Ai 9,asus,AMD,,3,2.0,32,DDR5,7500,1024,14.0,2880 x 1800,120,NVIDIA,1.5,"73WHrs, 4S1P, 4-cell Li-ion Sạc lại từ 0-50% trong 30 phút",56940000
ASUS Rog Strix G18 G815lm S9088w,asus,Intel,,,2.7,32,DDR5,5600,1024,18.0,2560 x 1600,240,NVIDIA,3.2,"90WHrs, 4S1P, 4-cell Li-ion, Sạc từ 0-50% trong 30 phút",52090000
ASUS Vivobook S 16 Oled S5606ma Mx051w,asus,Intel,,,1.4,16,DDR5,,512,16.0,3200 x 2000,120,Intel,1.5,"75WHrs, 4S1P, 4-cell Li-ion",29990000
ASUS Rog Strix G18 G815lp S9102w,asus,Intel,,,2.7,32,DDR5,5600,1024,18.0,2560 x 1600,240,NVIDIA,3.2,"90WHrs, 4S1P, 4-cell Li-ion, Sạc từ 0-50% trong 30 phút",56990000
ASUS Vivobook S14 S3407va Ly053w,asus,Intel,I7,71,2.4,16,DDR5,,512,14.0,1920 x 1200,60,Intel,1.4,"70WHrs, 4S1P, 4-cell Li-ion",20990000
ASUS Gaming V16 V3607vu Rp216w,asus,Intel,,,2.5,16,DDR5,,512,16.0,1920 x 1200,144,NVIDIA,1.95,"63WHrs, 3S1P, 3-cell Li-ion",27490000
ASUS Zenbook S 14 Oled Ux5406sa Pv140ws,asus,Intel,,72,1.8,32,DDR5,,1024,14.0,2880 x 1800,120,Intel,1.2,"72WHrs, 2S2P, 4-cell Li-ion",44990000
ASUS Vivobook 15 X1504va Nj1969w,asus,Intel,I5,51,1.3,16,DDR4,,512,15.6,1920 x 1080,60,Intel,1.7,"42WHrs, 3S1P, 3-cell Li-ion",15990000
ASUS Tuf Gaming F15 Fx507zc4 Hn095w,asus,Intel,I5,51,2.5,16,DDR4,3200,1024,15.6,1920 x 1080,144,NVIDIA,2.2,"56WHrs, 4S1P, 4-cell Li-ion",24990000
ASUS Vivobook S 16 Oled M5606ka Ri016ws RYZEN Ai 7,asus,AMD,,3,2.0,24,DDR5,,512,16.0,2880 x 1800,120,AMD,1.5,"75WHrs, 4S1P, 4-cell Li-ion",30990000
ASUS Vivobook S16 S3607va Rp056w,asus,Intel,I7,71,2.4,16,DDR5,,512,16.0,1920 x 1200,144,Intel,1.7,"70WHrs, 4S1P, 4-cell Li-ion",20490000
ASUS Zenbook 14 Ux3405ca Pz187ws,asus,Intel,,,1.7,16,DDR5,,512,14.0,2880 x 1800,120,Intel,1.28,"75WHrs, 2S2P, 4-cell Li-ion",31990000
ASUS Gaming V16 V3607vh Rp024w,asus,Intel,,,2.2,16,DDR5,,512,16.0,1920 x 1200,144,NVIDIA,1.95,"63WHrs, 3S1P, 3-cell Li-ion",28990000
ASUS Tuf Gaming F16 Fx608jmr Rv048w,asus,Intel,I7,14,2.2,16,DDR5,5600,1024,16.0,1920 x 1200,165,NVIDIA,2.2,"90WHrs, 4S1P, 4-cell Li-ion",40990000
ASUS Gaming V16 V3607vh Rp025w,asus,Intel,,,2.5,16,DDR5,,512,16.0,1920 x 1200,144,NVIDIA,1.95,"63WHrs, 3S1P, 3-cell Li-ion",30430000
ASUS Rog Flow Z13 Gz302ea Ru145ws,asus,AMD,,3,3.0,128,DDR5,8000,1024,13.4,2560 x 1600,180,AMD,1.2,"70WHrs, 4S1P, 4-cell Li-ion Sạc lại từ 0-50% trong 30 phút",83490000
ASUS Vivobook S16 S5606ca Ri171ws,asus,Intel,,,2.0,16,DDR5,,512,16.0,2880 x 1800,120,Intel,1.5,"75WHrs, 4S1P, 4-cell Li-ion",31410000
ASUS Vivobook S14 S3407ca Ly095ws,asus,Intel,,,1.7,16,DDR5,,512,14.0,1920 x 1200,60,Intel,1.4,"70WHrs, 4S1P, 4-cell Li-ion",22990000
ASUS Rog Strix G16 G615jhr S5069w,asus,Intel,I7,14,2.2,32,DDR5,,1024,16.0,2560 x 1600,240,NVIDIA,2.65,"90WHrs, 4S1P, 4-cell Li-ion",44170000
ASUS Rog Zephyrus G16 Gu605cm Qr078w,asus,Intel,,,2.9,32,DDR5,7467,1024,16.0,2560 x 1600,240,NVIDIA,1.85,"90WHrs, 4S1P, 4-cell Li-ion Sạc lại từ 0-50% trong 30 phút",62990000
ASUS Tuf Gaming F16 Fx608jh Rv039w,asus,Intel,I5,51,2.4,16,DDR5,,1024,16.0,1920 x 1200,165,NVIDIA,2.2,"90WHrs, 4S1P, 4-cell Li-ion",33370000
ASUS Vivobook S14 S3407va Ly146w,asus,Intel,,,2.2,16,DDR5,,512,14.0,1920 x 1200,60,Intel,1.4,"70WHrs, 4S1P, 4-cell Li-ion",19490000
ASUS Zenbook Duo Ux8406ca Pz109ws,asus,Intel,,,2.9,32,DDR5,,1024,14.0,2880 x 1800,120,Intel,1.65,"75WHrs, 4S1P, 4-cell Li-ion",61990000
ASUS Zenbook 14 Um3406ka Pp590ws RYZEN Ai 7,asus,AMD,,3,2.0,32,DDR5,,1024,14.0,2880 x 1800,120,AMD,1.2,"75WHrs, 4S1P, 4-cell Li-ion",31990000
ASUS Vivobook S14 M3407ka Sf032ws RYZEN Ai 7,asus,AMD,,3,2.0,32,DDR5,,512,14.0,1920 x 1200,60,AMD,1.4,"70WHrs, 4S1P, 4-cell Li-ion",25990000
ASUS Zenbook 14 Ux3405ca Pz204ws,asus,Intel,,,2.9,32,DDR5,,1024,14.0,2880 x 1800,120,Intel,1.28,"75WHrs, 2S2P, 4-cell Li-ion",38990000
ASUS Vivobook S14 M3407ka Sf034ws RYZEN Ai 5,asus,AMD,,3,,16,DDR5,,512,14.0,1920 x 1200,60,AMD,1.4,"70WHrs, 4S1P, 4-cell Li-ion",22990000
ASUS Vivobook S 16 S5606ca Ri114ws,asus,Intel,,,1.7,16,DDR5,,512,16.0,2880 x 1800,120,Intel,1.5,"75WHrs, 4S1P, 4-cell Li-ion",28990000
ASUS Tuf Gaming A14 Fa401km Rg010ws RYZEN Ai 7,asus,AMD,,3,2.0,32,DDR5,,1024,14.0,2560 x 1600,165,NVIDIA,1.46,"73WHrs, 4S1P, 4-cell Li-ion Sạc lại từ 0-50% trong 30 phút",45150000
ASUS Vivobook S14 S3407ca Ly096ws,asus,Intel,,,2.0,16,DDR5,,512,14.0,1920 x 1200,60,Intel,1.4,"70WHrs, 4S1P, 4-cell Li-ion",25990000
ASUS Rog Strix G16 G615jpr S5107w,asus,Intel,I7,14,2.2,32,DDR5,5600,1024,16.0,2560 x 1600,240,NVIDIA,2.65,"90WHrs, 4S1P, 4-cell Li-ion",51090000
ASUS Rog Strix G16 G615lr S5289w,asus,Intel,,,2.4,16,DDR5,5600,1024,16.0,2560 x 1600,240,NVIDIA,2.65,"90WHrs, 4S1P, 4-cell Li-ion, Sạc từ 0-50% trong 30 phút",57990000
ASUS Rog Zephyrus G14 Ga403wr Qs156ws,asus,AMD,,3,2.0,32,DDR5,8000,1024,14.0,2880 x 1800,120,NVIDIA,1.57,"73WHrs, 4S1P, 4-cell Li-ion Sạc lại từ 0-50% trong 30 phút",71690000
ASUS Zenbook S 13 Oled Ux5304va Nq125w,asus,Intel,I7,71,1.7,16,DDR5,,512,13.3,2880 x 1800,60,Intel,1.0,"63WHrs, 2S2P, 4-cell Li-ion",39990000
ASUS Vivobook 14 A1407ca Ly008ws,asus,Intel,,,1.7,16,DDR5,,512,14.0,1920 x 1200,60,Intel,1.46,"42WHrs, 3S1P, 3-cell Li-ion",22490000
ASUS Rog Zephyrus G16 Gu605cr Qr107w,asus,Intel,,,2.9,32,DDR5,7467,1024,16.0,2560 x 1600,240,NVIDIA,1.95,"90WHrs, 4S1P, 4-cell Li-ion Sạc lại từ 0-50% trong 30 phút",76590000
ASUS Tuf Gaming F16 Fx608jpr Rv044w,asus,Intel,I7,14,2.2,16,DDR5,,1024,16.0,1920 x 1200,165,NVIDIA,2.2,"90WHrs, 4S1P, 4-cell Li-ion",45190000
ASUS Zenbook 14 Ux3405ca Pz368ws,asus,Intel,,,2.0,16,DDR5,,512,14.0,2880 x 1800,120,Intel,1.28,"75WHrs, 2S2P, 4-cell Li-ion",34990000
ASUS Vivobook S14 S5406sa Pp168ws,asus,Intel,,,2.1,16,DDR5,,512,14.0,2880 x 1800,120,Intel,1.3,"75WHrs, 4S1P, 4-cell Li-ion",28490000
ASUS Vivobook S16 S3607ca Sh082ws,asus,Intel,,,1.7,16,DDR5,,512,16.0,1920 x 1200,60,Intel,1.7,"70WHrs, 4S1P, 4-cell Li-ion",23990000
ASUS Vivobook S16 S3607ca Sh083ws,asus,Intel,,,2.0,16,DDR5,,512,16.0,1920 x 1200,60,Intel,1.7,"70WHrs, 4S1P, 4-cell Li-ion",26990000
ASUS Tuf Gaming F15 Fx507zc4 Hn074w,asus,Intel,I5,51,2.5,8,DDR4,3200,1024,15.6,1920 x 1080,144,NVIDIA,2.2,"56WHrs, 4S1P, 4-cell Li-ion",25990000
ASUS Vivobook 15 Oled A1505va Ma468w,asus,Intel,I5,51,2.6,16,DDR4,,512,15.6,2880 x 1620,120,Intel,1.7,"50WHrs, 3S1P, 3-cell Li-ion",20990000
ASUS Vivoboook S 14 Oled S5406ma Pp046ws,asus,Intel,,,1.2,16,DDR5,,512,14.0,2880 x 1800,120,Intel,1.3,"75WHrs, 4S1P, 4-cell Li-ion",26990000
ASUS Rog Strix G16 G614ju N3135w,asus,Intel,I5,51,2.4,16,DDR5,4800,1024,16.0,1920 x 1200,165,NVIDIA,2.5,"90WHrs, 4S1P, 4-cell Li-ion",33990000
ASUS Vivobook S 15 S5507qa Ma092ws Copilot X Plus,asus,,,,3.4,16,DDR5,,512,15.6,2880 x 1620,120,,1.42,"70WHrs, 3S1P, 3-cell Li-ion",26990000
ASUS Vivobook 15 Oled A1505va Ma469w,asus,Intel,I9,91,2.6,16,DDR4,,512,15.6,2880 x 1620,120,Intel,1.7,"50WHrs, 3S1P, 3-cell Li-ion",24990000
ASUS Vivobook 15 Oled S5507qa Ma090ws,asus,,,,3.4,32,DDR5,,1024,15.6,2880 x 1620,120,,1.42,"70WHrs, 3S1P, 3-cell Li-ion",34990000
ASUS Rog Strix G16 G614ju N3480w,asus,Intel,I5,51,2.4,32,DDR5,4800,2048,16.0,1920 x 1200,165,NVIDIA,2.5,"90WHrs, 4S1P, 4-cell Li-ion Sạc lại từ 0-50% trong 30 phút",37990000
ASUS Vivobook 16 M1607ka Mb091ws RYZEN Ai 7,asus,AMD,,3,2.0,16,DDR5,,512,16.0,1920 x 1200,60,AMD,1.88,"42WHrs, 3S1P, 3-cell Li-ion",22990000
ASUS Gaming Vivobook K3605zf Rp634w,asus,Intel,I5,51,2.5,16,DDR4,,512,16.0,1920 x 1200,144,NVIDIA,1.8,"50WHrs, 3S1P, 3-cell Li-ion",20990000
ASUS Vivoboook S 14 Oled S5406ma Pp198ws,asus,Intel,,,1.4,16,DDR5,,512,14.0,2880 x 1800,120,Intel,1.3,"75WHrs, 4S1P, 4-cell Li-ion",29990000
ASUS Tuf Gaming F15 Fx506hf Hn078w,asus,Intel,I5,51,2.9,16,DDR4,3200,1024,15.6,1920 x 1080,144,NVIDIA,2.3,"48WHrs, 3S1P, 3-cell Li-ion",20990000
ASUS Gaming Vivobook K3605zu Rp296w,asus,Intel,I5,51,2.5,16,DDR4,,512,16.0,1920 x 1200,144,NVIDIA,1.8,"70WHrs, 3S1P, 3-cell Li-ion",28490000
ASUS Vivobook S 14 Oled S5406ma Pp136w,asus,Intel,,,1.2,16,DDR5,,1024,14.0,2880 x 1800,120,Intel,1.3,"75WHrs, 4S1P, 4-cell Li-ion",26990000
ASUS Vivobook 14 Oled A1405va Km257w,asus,Intel,I5,51,2.6,16,DDR4,,512,14.0,2880 x 1800,90,Intel,1.6,"50WHrs, 3S1P, 3-cell Li-ion",20990000
ASUS Expertbook B1402cba Nk2669w,asus,Intel,I5,51,1.7,16,DDR4,,512,14.0,1920 x 1080,60,Intel,1.49,"42WHrs, 3S1P, 3-cell Li-ion",19990000
ASUS Vivobook 15 X1504za Nj517w,asus,Intel,I5,51,1.3,16,DDR4,,512,15.6,1920 x 1080,60,Intel,1.7,"42WHrs, 3S1P, 3-cell Li-ion",16490000
ASUS Vivobook 15 Oled A1505va L1201w,asus,Intel,I9,91,2.6,16,DDR4,,512,15.6,1920 x 1080,60,Intel,1.7,"50WHrs, 3S1P, 3-cell Li-ion",24990000
ASUS Tuf Gaming F15 Fx507vv Lp304w,asus,Intel,I7,71,2.4,32,DDR5,4800,1024,15.6,1920 x 1080,144,NVIDIA,2.2,"90WHrs, 4S1P, 4-cell Li-ion",
ASUS Vivobook 14 Oled A1405za Km264w,asus,Intel,I5,51,2.5,16,DDR4,,512,14.0,2880 x 1800,90,Intel,1.6,"50WHrs, 3S1P, 3-cell Li-ion",17990000
ASUS Tuf Gaming A15 Fa507nu Lp140w,asus,AMD,Ryzen 5,7,4.5,16,DDR5,4800,2048,15.6,1920 x 1080,144,NVIDIA,2.2,"90WHrs, 4S1P, 4-cell Li-ion",25990000
ASUS Vivobook 15 X1504za Nj1039w,asus,Intel,I7,71,1.7,16,DDR4,,512,15.6,1920 x 1080,60,Intel,1.7,"42WHrs, 3S1P, 3-cell Li-ion",17990000
ASUS Rog Strix G16 G614jv N4156w,asus,Intel,I7,71,2.6,16,DDR5,4800,2048,16.0,2560x1600,240,NVIDIA,2.5,"90WHrs, 4S1P, 4-cell Li-ion",40990000
ASUS Vivobook Flip 14 Tp470ea Ec346w,asus,Intel,I3,31,,4,DDR4,3200,512,14.0,1920 x 1080,,Intel,1.5,3 Cells 42WHrs,16590000
ASUS Tuf Gaming A15 Fa506nf Hn005w,asus,AMD,,7,3.3,8,DDR5,4800,512,15.6,1920 x 1080,144,NVIDIA,2.3,"48WHrs, 3S1P, 3-cell Li-ion",19990000
ASUS Vivobook Pro M3401qa Km025w,asus,AMD,Ryzen 7,5,,8,DDR4,3200,512,14.0,2880 x 1800,,AMD,1.45,3 Cells 63WHrs,18600000
ASUS Zenbook Duo Ux8406ma Pz307w,asus,Intel,,,1.4,16,DDR5,,512,14.0,2880 x 1800,120,Intel,1.65,"75WHrs, 4S1P, 4-cell Li-ion",49990000
ASUS Vivobook Pro M3401qa Km006w,asus,AMD,Ryzen 5,5,,8,DDR4,3200,512,14.0,2880 x 1800,,AMD,1.4,"3-cell Li-ion, 63 Wh",17800000
ASUS Expertbook P1 P1503cva I5se16 63ws,asus,Intel,I5,51,2.6,16,DDR5,,512,15.6,1920 x 1080,60,Intel,1.65,"63WHrs, 3S1P, 3-cell Li-ion",
ASUS Expertbook P1 P1403cva I5se16 63ws,asus,Intel,I5,51,2.6,16,DDR5,,512,14.0,1920 x 1080,60,Intel,1.45,"63WHrs, 3S1P, 3-cell Li-ion",
ASUS Rog Strix G18 G814jvr N6089w,asus,Intel,I9,14,2.2,32,DDR5,5600,1024,18.0,2560 x 1600,240,NVIDIA,3.0,"90WHrs, 4S1P, 4-cell Li-ion",
ASUS Gaming Rog Strix G531gt Al030t,asus,Intel,I7,79,2.6,8,DDR4,,1024,15.6,1920 x 1080,144,NVIDIA,2.4,3 Cell 48WHr,
ASUS Expertbook P1 P1503cva I7se16 63ws,asus,Intel,I7,71,2.4,16,DDR5,,512,15.6,1920 x 1080,60,Intel,1.65,"63WHrs, 3S1P, 3-cell Li-ion",
ASUS Vivobook 14 X1404va Nk125w,asus,Intel,I5,51,1.3,8,DDR4,3200,256,14.0,1920 x 1080,120,Intel,1.4,"42WHrs, 3-cell Li-ion",
ASUS Gaming Rog Strix G512 Ihn281t,asus,Intel,I5,10,,,,,512,15.6,1920 x 1080,144,NVIDIA,2.4,3 cell /48WHrs - 3S1P,
ASUS Tuf Gaming A15 Fa507uv Lp090w,asus,AMD,Ryzen 9,8,4.0,16,DDR5,5600,2048,15.6,1920 x 1080,144,NVIDIA,2.2,"90WHrs, 4S1P, 4-cell Li-ion",
ASUS Expertbook B1 B1502cva Nj0175w,asus,Intel,I5,51,1.3,16,DDR4,,512,15.6,1920 x 1080,60,Intel,1.69,"42WHrs, 3S1P, 3-cell Li-ion",
ASUS Expertbook B1402cva Nk0177w,asus,Intel,I7,71,1.7,16,DDR4,,512,14.0,1920 x 1080,60,Intel,1.46,"42WHrs, 3S1P, 3-cell Li-ion",
ASUS Expertbook B1 B1502cva Nj0149w,asus,Intel,I3,31,1.2,8,DDR4,,512,15.6,1920 x 1080,60,Intel,1.69,"42WHrs, 3S1P, 3-cell Li-ion",12490000
ASUS Expertbook B1 B1402cva Nk0176w,asus,Intel,I5,51,1.3,16,DDR4,,512,14.0,1920 x 1080,60,Intel,1.46,"42WHrs, 3S1P, 3-cell Li-ion",
ASUS Rog Strix Scar 18 G834jyr R6199,asus,Intel,I9,14,2.2,64,DDR5,5600,2048,18.0,2560 x 1600,240,NVIDIA,3.1,"90WHrs, 4S1P, 4-cell Li-ion",
ASUS Vivobook S 14 Oled S5406ma Pp161w,asus,Intel,,,1.2,16,DDR5,,1024,14.0,2880 x 1800,120,Intel,1.3,"75WHrs, 4S1P, 4-cell Li-ion",
ASUS Tuf Gaming Fx516pm Hn023t,asus,Intel,I7,11,,16,DDR4,,512,15.6,1920 x 1080,144,NVIDIA,2.0,"4-cell Li-ion, 76 Wh",
ASUS Expertbook B1 B1502cva Nj0148w,asus,Intel,I7,71,1.7,8,DDR4,,512,15.6,1920 x 1080,60,Intel,1.69,"42WHrs, 3S1P, 3-cell Li-ion",
ASUS Gaming Fx505dy Al175t,asus,AMD,Ryzen 5,3,2.1,8,DDR4,2666,1024,15.6,1920 x 1080,120,AMD,2.2,3 Cell 48WHr,
ASUS Expertbook B5 B5602cva L20164w,asus,Intel,I5,51,1.9,16,DDR5,,512,16.0,3840 x 2400,60,Intel,1.53,"84WHrs, 4S1P, 4-cell Li-ion",
ASUS Rog Strix G16 G614ji N4125w,asus,Intel,I7,71,2.6,16,DDR5,4800,2048,16.0,2560 x 1600,240,NVIDIA,2.5,"90WHrs, 4S1P, 4-cell Li-ion",46990000
ASUS Expertbook P5 P5405csa Nz0451w,asus,Intel,,,1.6,16,DDR5,,1024,14.0,2560 x 1600,144,Intel,1.27,"63WHrs, 3S1P, 3-cell Li-ion",
ASUS Expertbook P1 P1403cva I7se16 63ws,asus,Intel,I7,71,2.4,16,DDR5,,512,14.0,1920 x 1080,60,Intel,1.45,"63WHrs, 3S1P, 3-cell Li-ion",
ASUS Rog Strix G18 G814jv N6077w,asus,Intel,I7,71,2.6,32,DDR5,4800,1024,18.0,2560 x 1600,240,NVIDIA,3.0,"90WHrs, 4S1P, 4-cell Li-ion Sạc lại từ 0-50% trong 30 phút",
ASUS Vivobook S 14 Oled S5406ma Pp219ws,asus,Intel,,,1.2,16,DDR5,,512,14.0,2880 x 1800,60,Intel,1.3,"75WHrs, 4S1P, 4-cell Li-ion",
ASUS Expertbook B5 B5402cva Ki0123w,asus,Intel,I5,51,1.9,16,DDR5,,512,14.0,1920 x 1080,60,Intel,1.29,"63WHrs, 3S1P, 3-cell Li-ion",
